7.958079E-13,45.75055;0,0
-9.292352,25.25728;0,0
-23.47886,26.18788;0,0
-23.76649,25.46312;-7.142668,-17.99817
-22.40815,25.90022;37.22656,19.55725
-18.56062,27.68899;77.30418,34.84103
-12.88419,31.42689;103.0931,75.74045
-7.696599,36.91515;78.3258,99.16515
-5.189391,43.2019;23.91773,107.5176
-4.42141,48.86999;7.363369,88.07424
-4.47824,54.33606;-5.008765,92.58606
-4.101168,59.89247;11.80427,92.6195
-3.123504,64.73023;18.4856,74.75835
-3.637748,67.31558;-21.74698,27.59876
-5.638775,67.25439;-56.72071,-14.69294
-7.453321,64.60469;-17.33294,-58.55693
-7.064549,59.39743;18.11823,-100.624
-5.025256,51.53141;41.75832,-146.037
-3.354779,41.14699;21.03445,-186.3217
-2.827423,29.1578;2.796943,-206.4362
-2.82897,16.42507;-1.4073,-215.0455
-2.513237,5.916419;8.525013,-155.5975
-2.025259,2.868479;7.902504,18.42396
-2.730038,5.910771;-21.34594,66.53053
-3.532869,11.25025;-9.492484,99.99818
-5.585229,18.74748;-46.30108,137.1893
-7.742802,26.27675;-41.34209,170.9558
-8.513313,34.42944;1.100825,118.6941
-7.438751,39.15678;26.11074,59.2507
-7.429841,40.77139;-12.45298,11.10281
-9.327876,39.43947;-41.06372,-38.4683
-12.51008,37.04688;-58.90103,-40.57809
-14.50231,32.8721;-20.66157,-83.77117
-17.52438,27.03238;-66.29635,-106.1011
-22.84166,22.69259;-99.53944,-55.81739
-27.2125,21.37934;-59.76498,-5.301624
-29.09479,22.79795;-17.52891,37.74783
-28.479,26.60023;23.83887,75.9371
-25.87702,31.95921;52.92471,95.88338
-20.78017,37.5349;100.625,91.50069
-13.35064,44.42097;135.1986,126.1721
-3.653419,52.69842;174.5686,143.7399
6.384235,58.99681;163.7274,85.9966
14.53957,61.99067;122.2992,32.23118
20.60588,61.7327;90.73079,-22.15702
26.02233,58.36808;90.07317,-72.67433
31.6394,52.23262;95.37039,-116.7487
31.04401,44.19172;2.200704,-142.4749
29.04084,37.24143;-48.61866,-102.8024
24.17666,32.3657;-96.94896,-70.74041
20.34751,29.21383;-47.59977,-43.60721
15.62432,27.02321;-93.96443,-33.06014
10.00537,25.75665;-93.50053,-15.26917
4.025739,26.23277;-102.6897,19.27997
-0.7071747,26.9238;-67.22531,7.721098
-3.48426,28.74673;-36.06602,41.44052
-3.798114,32.62144;9.820022,75.91841
-2.058434,38.58109;38.37963,110.8101
-1.525003,45.56482;-5.528643,119.1403
-0.7988939,50.33312;20.70819,60.05166
0.1069453,51.5061;12.28738,-0.1814148
-0.2671752,49.4703;-15.25971,-50.47968
-1.727689,45.91523;-42.12516,-91.75864
